objectId,parent_candid,jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion
ZTF18ablhqle,881436771215015016,2458612.9201968,2,858420191215,20.8914,/ztf/archive/sci/2019/0509/420197/ztf_20190509420197_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,858.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t15_f5_c3
ZTF18ablhqle,946172111215015078,2458675.7528125,2,921252811215,20.3203,/ztf/archive/sci/2019/0711/252812/ztf_20190711252812_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,921.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1423,2.77442e-06,0.0241897,0.0756974,6.94936e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458678.71375,2,924213751215,19.9354,/ztf/archive/sci/2019/0714/213750/ztf_20190714213750_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,924.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1649,2.44619e-06,0.0226403,0.0724343,6.1363e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458678.7925463,1,924292541215,19.687,/ztf/archive/sci/2019/0714/292512/ztf_20190714292512_000586_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,924.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2584,5.42171e-06,0.0334881,-0.0661968,1.3774e-05,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458681.778125,2,927278121215,19.704,/ztf/archive/sci/2019/0717/278090/ztf_20190717278090_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,927.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1665,2.31881e-06,0.0221077,0.0736922,5.82448e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458684.6724421,2,930172441215,20.462,/ztf/archive/sci/2019/0720/172442/ztf_20190720172442_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,930.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1549,2.0154e-06,0.0206477,0.0791697,5.05056e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458684.7135069,1,930213501215,20.6292,/ztf/archive/sci/2019/0720/213495/ztf_20190720213495_000586_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,930.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.265,2.02538e-06,0.0207215,-0.0765177,5.08608e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458694.6893519,2,940189351215,20.7295,/ztf/archive/sci/2019/0730/189352/ztf_20190730189352_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,940.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1541,3.57387e-06,0.0273844,0.077195,8.95794e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458697.6875694,2,943187561215,20.6727,/ztf/archive/sci/2019/0802/187569/ztf_20190802187569_000586_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,943.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1294,2.03761e-06,0.0206794,0.0844675,5.1231e-06,t17_f5_c3
ZTF18ablhqle,946172111215015078,2458699.6862037,1,945186201215,20.5392,/ztf/archive/sci/2019/0804/186204/ztf_20190804186204_000586_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,945.0,12.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9979,3.37647e-06,0.0268377,-0.0753643,8.44421e-06,t17_f5_c3
ZTF18ablrzdz,582318574315015008,2458312.973831,1,558473834315,20.8282,/ztf/archive/sci/2018/0713/473819/ztf_20180713473819_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18ablrzdz,592368174315015004,2458318.9516204,1,564451624315,20.8788,/ztf/archive/sci/2018/0719/451505/ztf_20180719451505_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18ablrzdz,592368174315015004,2458321.9535301,1,567453534315,20.93,/ztf/archive/sci/2018/0722/453484/ztf_20180722453484_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18ablrzdz,586472744315015004,2458324.9426157,1,570442614315,19.7407,/ztf/archive/sci/2018/0725/442604/ztf_20180725442604_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18ablrzdz,598408834315015005,2458327.9655093,1,573465504315,19.1824,/ztf/archive/sci/2018/0728/465475/ztf_20180728465475_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
ZTF18ablrzdz,586472744315015004,2458330.9981944,1,576498194315,19.473,/ztf/archive/sci/2018/0731/498137/ztf_20180731498137_000695_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,t8_f5_c3
