objectId,fid,candid,parent_candid,aimagerat,isdiffpos,clrcounc,sigmapsf,chipsf,mindtoedge,magnr,ssnamenr,sigmagapbig,magap,sigmagap,bimage,elong,ranr,pid,sumrat,ypos,field,bimagerat,nneg,magzpsciunc,magzpscirms,fwhm,distnr,rbversion,dec,tblid,magpsf,magdiff,scorr,programpi,rcid,nid,magzpsci,chinr,ssdistnr,xpos,seeratio,decnr,ra,sigmagnr,magfromlim,sharpnr,pdiffimfilename,programid,sky,nbad,magapbig,diffmaglim,rb,aimage,clrcoeff,classtar,ssmagnr,nframesref,objectidps1,srmag2,jdstarthist,jdendref,distpsnr1,jdstartref,zpmed,zpclrcov,objectidps3,simag3,srmag3,neargaiabright,jdendhist,distpsnr3,sgscore2,nmtchps,dsnrms,maggaiabright,szmag2,clrmed,distpsnr2,nmatches,clrrms,dsdiff,maggaia,exptime,tooflag,drbversion,drb,ndethist,simag2,sgmag3,simag1,sgscore3,szmag1,neargaia,sgmag2,srmag1,ssnrms,sgscore1,szmag3,objectidps2,sgmag1,rfid,ncovhist,mjd,corrected,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,dubious,step_id_corr,has_stamp
ZTF19aamjvie,1,882240394915015003,888217474915015005,0.30872726,1.0,2.32922e-05,0.21010652,0.9840578,929.4949,22.485,null,0.4993,20.1165,0.2977,0.792,1.0719697,141.361022,882240394915,0.9803547,929.4949,785,0.288,4,1.69124e-05,0.038603,2.75,1.7505646,t17_f5_c3,58.3142343,3,20.207989,-0.091489,8.30860805511475,Kulkarni,49,882,25.98499,1.604,-999.0,1155.8578,1.0298537,58.3144958,141.3618148,0.35,0.16795908,-0.073,ztf_20190602240278_000785_zg_c13_o_q2_scimrefdiffimg.fits,1,0.1710502,0,20.4098,20.284458,0.8385714,0.849,-0.062063,0.813,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458423.973553,2.314849,2458202.759525,25.941,-1.846e-05,1.779714135117525e+17,21.77,21.6983,38.558426,2458636.7403935,26.048792,0.00866071,4.0,3.7201185,12.688038,20.9076,0.736,15.893463,489.0,0.312684,-5.201703,20.3027,30.0,0.0,,0.0,131.0,21.2187,21.7211,21.0149,0.5,-999.0,35.594112,-999.0,21.4533,8.921822,0.5,21.1494,1.7797141354054998e+17,-999.0,785120149.0,902.0,58636.240393499844,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,1,830220526115015003,843259766115015003,0.27520663,1.0,2.86577e-05,0.06638837,2.1828969,800.1762,22.374,null,0.0641,18.0848,0.0516,0.903,1.1063123,141.3606416,830220526115,1.0,800.1762,786,0.24876033,0,1.9346e-05,0.039821,3.63,2.3195705,t15_f5_c3,58.3142103,3,18.060152,0.024648,40.0596466064453,Kulkarni,61,830,26.013151,1.454,-999.0,1742.8928,0.86191726,58.3144572,141.361791,0.313,2.0021718,-0.157,ztf_20190411220463_000786_zg_c16_o_q2_scimrefdiffimg.fits,1,-0.04023833,0,18.068,20.086971,0.6557143,0.999,-0.049536,0.982,-999.0,16.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458277.701829,2.3268998,2458166.884931,25.979,-2.18e-05,1.779714135117525e+17,21.77,21.6983,38.492977,2458584.7205208,25.959515,0.00866071,4.0,26.1124,12.688038,20.9076,0.689,15.888113,488.0,0.310586,-26.922195,20.3027,30.0,0.0,,0.0,53.0,21.2187,21.7211,21.0149,0.5,-999.0,35.67746,-999.0,21.4533,53.034595,0.5,21.1494,1.7797141354054998e+17,-999.0,786120161.0,817.0,58584.22052079998,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,1,851238066115015002,863242236115015004,0.157011,1.0,0.0,0.21727,1.42509,668.272,22.374,,0.2132,19.4452,0.1422,1.541,1.10448,141.3606416,851238066115,1.0,668.272,786,0.142159,1,0.0,0.0,10.84,2.75007,t15_f5_c3,58.3140315,2,19.6109,-0.165658,11.0544,Kulkarni,61,851,0.0,1.454,,1740.37,0.390556,58.3144572,141.3618704,0.313,0.544331,-0.157,/ztf/archive/sci/2019/0502/238009/ztf_20190502238009_000786_zg_c16_o_q2_scimrefdiffimg.fits.fz,1,-0.055164,0,19.6235,19.9895,0.151429,1.702,0.0,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58605.238067099825,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,1,821197884915015004,843259766115015003,0.34060913,1.0,3.15627e-05,0.05177787,22.837282,1041.5807,22.485,null,0.0439,17.2699,0.0352,0.637,1.0533752,141.361022,821197884915,1.0,1041.5807,785,0.32335025,2,2.21506e-05,0.042938,1.97,1.7494966,t15_f5_c3,58.3142196,4,17.31069,-0.040789,57.841423034668,Kulkarni,49,821,25.58569,1.604,-999.0,1139.8619,1.2115557,58.3144958,141.3617982,0.35,2.742854,-0.073,ztf_20190402197847_000785_zg_c13_o_q2_scimrefdiffimg.fits,1,0.1699072,0,17.2677,20.012754,0.7157143,0.671,-0.065608,0.984,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458423.973553,2.3253434,2458202.759525,25.54,-2.456e-05,1.779714135117525e+17,21.77,21.6983,38.51965,2458575.6978819,25.991127,0.00866071,4.0,62.276615,12.688038,20.9076,0.707,15.886633,470.0,0.310373,-42.67442,20.3027,30.0,0.0,,0.0,36.0,21.2187,21.7211,21.0149,0.5,-999.0,35.644913,-999.0,21.4533,104.951035,0.5,21.1494,1.7797141354054998e+17,-999.0,785120149.0,800.0,58575.197881899774,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,840162956115015000,863242236115015004,0.32639405,1.0,1.19465e-05,0.0681071,4.9560056,793.7077,22.212,null,0.0696,18.0662,0.0548,0.838,1.0477327,141.363378,840162956115,1.0,793.7077,786,0.31152415,0,8.6871e-06,0.038762,2.69,3.7064605,t15_f5_c3,58.3142061,0,18.073402,-0.007203,42.7346000671387,Kulkarni,61,840,25.948402,0.659,-999.0,1762.7323,1.0553085,58.3148529,141.3618223,0.229,2.0428543,0.19,ztf_20190421162940_000786_zr_c16_o_q2_scimrefdiffimg.fits,1,-0.1375839,0,18.0734,20.109055,0.80285716,0.878,0.092749,0.983,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458227.654329,2.2660406,2458160.742373,26.015,-9.45e-06,1.779714135117525e+17,21.77,21.6983,38.458267,2458594.6629514,25.996168,0.00866071,4.0,27.588629,12.688038,20.9076,0.746,15.948236,524.0,0.317954,-27.434587,20.3027,30.0,0.0,,0.0,75.0,21.2187,21.7211,21.0149,0.5,-999.0,35.69634,-999.0,21.4533,55.023216,0.5,21.1494,1.7797141354054998e+17,-999.0,786120261.0,841.0,58594.16295140004,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,821221646115015002,843259766115015003,0.34086537,1.0,2.01629e-05,0.07441054,15.397244,762.6087,22.212,null,0.079,17.3818,0.0636,0.633,1.1200632,141.363378,821221646115,1.0,762.6087,786,0.30432692,1,1.4648e-05,0.043251,2.08,3.7122054,t15_f5_c3,58.3142233,2,17.391775,-0.009976,43.114860534668,Kulkarni,61,821,25.265776,0.659,-999.0,1755.5623,1.1997243,58.3148529,141.361793,0.229,2.00459,0.19,ztf_20190402221644_000786_zr_c16_o_q2_scimrefdiffimg.fits,1,0.2641735,0,17.359,19.38639,0.74,0.709,0.08971,1.0,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458227.654329,2.3391738,2458160.742373,25.33,-1.594e-05,1.779714135117525e+17,21.77,21.6983,38.535553,2458575.7216435,25.99184,0.00866071,4.0,28.583345,12.688038,20.9076,0.746,15.872176,518.0,0.318052,-25.3687,20.3027,30.0,0.0,,0.0,38.0,21.2187,21.7211,21.0149,0.5,-999.0,35.630993,-999.0,21.4533,53.952045,0.5,21.1494,1.7797141354054998e+17,-999.0,786120261.0,802.0,58575.22164350003,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,843345616115015003,863242236115015004,0.29749104,1.0,1.70187e-05,0.08949368,3.031089,770.3851,22.212,null,0.1217,18.2326,0.1027,0.787,1.0546379,141.363378,843345616115,1.0,770.3851,786,0.28207886,0,1.22433e-05,0.042868,2.79,3.7944996,t15_f5_c3,58.314209,3,18.228113,0.004487,24.2472076416016,Kulkarni,61,843,25.873114,0.659,-999.0,1734.3596,0.9883605,58.3148529,141.3617606,0.229,1.3533248,0.19,ztf_20190424345613_000786_zr_c16_o_q2_scimrefdiffimg.fits,1,0.1513643,0,18.15,19.585924,0.76,0.83,0.096527,0.983,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458227.654329,2.3797553,2458160.742373,25.943,-1.338e-05,1.779714135117525e+17,21.77,21.6983,38.508602,2458597.8456134,25.911833,0.00866071,4.0,15.663939,12.688038,20.9076,0.745,15.83779,523.0,0.317599,-11.711726,20.3027,30.0,0.0,,0.0,83.0,21.2187,21.7211,21.0149,0.5,-999.0,35.678547,-999.0,21.4533,27.375666,0.5,21.1494,1.7797141354054998e+17,-999.0,786120261.0,849.0,58597.345613399986,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,813220554915015013,818196064915015001,0.340724,1.0,0.0,0.045225,45.7704,1039.41,21.335,,0.0234,17.1443,0.0199,0.743,1.01346,141.3637192,813220554915,1.0,1039.41,785,0.336199,2,0.0,0.0,2.21,3.69824,t15_f5_c3,58.3142315,13,17.1498,-0.005526,78.5507,Kulkarni,49,813,0.0,0.808,,1144.71,1.18612,58.3140629,141.3617709,0.112,3.33761,0.005,/ztf/archive/sci/2019/0325/220556/ztf_20190325220556_000785_zr_c13_o_q2_scimrefdiffimg.fits.fz,1,-0.20943,0,17.1064,20.4819,0.685714,0.753,0.0,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58567.22055559978,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,813222856115015002,818196064915015001,0.358333,1.0,0.0,0.039051,8.92903,767.132,22.212,,0.0289,17.1589,0.0237,0.729,1.06173,141.363378,813222856115,1.0,767.132,786,0.3375,0,0.0,0.0,2.16,3.70635,t15_f5_c3,58.3142283,2,17.128,0.03093,68.5886,Kulkarni,61,813,0.0,0.659,,1742.78,1.23678,58.3148529,141.3617919,0.229,3.10017,0.19,/ztf/archive/sci/2019/0325/222859/ztf_20190325222859_000786_zr_c16_o_q2_scimrefdiffimg.fits.fz,1,0.083893,0,17.1506,20.2591,0.822857,0.774,0.0,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58567.22285880009,False,,,,False,corr_bulk_0.0.1,True
ZTF19aamjvie,2,826215314915015003,843259766115015003,0.33436123,1.0,1.0489e-05,0.05233229,13.749815,1080.4689,21.335,null,0.045,17.7776,0.0371,0.736,1.03125,141.3637192,826215314915,1.0,1080.4689,785,0.32422906,3,7.8472e-06,0.036351,2.27,3.657939,t15_f5_c3,58.3142215,3,17.768532,0.009069,56.6589698791504,Kulkarni,49,826,26.10353,0.808,-999.0,1156.9998,1.1611192,58.3140629,141.361789,0.112,2.5674338,0.005,ztf_20190407215312_000785_zr_c13_o_q2_scimrefdiffimg.fits,1,-0.1993279,0,17.7412,20.345034,0.72571427,0.759,0.09042,0.983,-999.0,15.0,1.7797141363020758e+17,22.0151,2458557.6751736,2458371.006134,2.344031,2458160.741319,26.167,-8.46e-06,1.779714135117525e+17,21.77,21.6983,38.5321,2458580.7153125,25.981886,0.00866071,4.0,43.93495,12.688038,20.9076,0.767,15.867965,502.0,0.31354,-45.611557,20.3027,30.0,0.0,,0.0,41.0,21.2187,21.7211,21.0149,0.5,-999.0,35.636982,-999.0,21.4533,89.54651,0.5,21.1494,1.7797141354054998e+17,-999.0,785120249.0,805.0,58580.21531250002,False,,,,False,corr_bulk_0.0.1,True
