objectId,ndethist,ncovhist,mjdstarthist,mjdendhist,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,step_id_corr,nearZTF,nearPS1,stellar,corrected,ndet,ndubious,g-r_max,g-r_max_corr,g-r_mean,g-r_mean_corr
ZTF20aazqxwx,2.0,1035.0,58985.16894679982,58985.16989579983,180.07217200000002,15.36604105,5.6568542553073795e-06,3.627457787422514e-05,58985.16894679982,58985.16989579983,0.0009490000084042549,corr_bulk_0.0.1,False,False,False,False,2,0,,,,
ZTF20abaaawq,1.0,173.0,58986.255092599895,58986.255092599895,183.9884608,-5.1392432,,,58986.255092599895,58986.255092599895,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abbumah,1.0,172.0,58995.29895830015,58995.29895830015,216.2175466,-12.2670309,,,58995.29895830015,58995.29895830015,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abdfyet,1.0,683.0,58999.43462960003,58999.43462960003,19.5221446,72.7271607,,,58999.43462960003,58999.43462960003,0.0,corr_bulk_0.0.1,False,False,False,False,1,1,,,,
ZTF20abdmzan,4.0,510.0,58867.13055559993,59082.37303239992,12.83395765,26.7426053,4.949747475906106e-07,4.101219331078414e-06,59082.37303239992,59082.37303239992,0.0,corr_bulk_0.0.1,True,True,True,True,2,0,,,,
ZTF20abkpolw,1.0,1254.0,59041.302789399866,59041.302789399866,356.8095573,35.9229259,,,59041.302789399866,59041.302789399866,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF20aborwtf,1.0,414.0,59055.46003470011,59055.46003470011,6.2815599,-1.936517,,,59055.46003470011,59055.46003470011,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abrxmhs,2.0,1206.0,58450.091898099985,59074.41484950017,312.8229683,36.6459629,,,59074.41484950017,59074.41484950017,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF20abvrvyo,1.0,1253.0,59082.50745370006,59082.50745370006,13.1631826,38.9609183,,,59082.50745370006,59082.50745370006,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abwfmir,1.0,1227.0,59085.42236110009,59085.42236110009,50.0243017,23.6460301,,,59085.42236110009,59085.42236110009,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abwhwru,1.0,412.0,59085.48592589982,59085.48592589982,44.8603503,10.0271516,,,59085.48592589982,59085.48592589982,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF20abzkixc,1.0,454.0,59107.38334489986,59107.38334489986,357.0550421,8.6026428,,,59107.38334489986,59107.38334489986,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
