 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 533 13 2 ZTF_r 1449574975015 0 4.4772 172.692 27.0536 26.2225 5.57051e-05 0.0524153 0.0610827 0.000149097 376 30. 0.118667 0.115386 18.1508 26.2225 1 2459204.0749769 533120250 -3.2287622881944 225.859346761286 -0.0159020386770013 1.00506531557408 -193.268435932596 274.208696240568 -0.709569436111477 1.30889481361588 null null null null null 2458186.976065 2458255.813901 57
 10 533 13 2 ZTF_r 1450556655015 0 2.2121 163.922 9.51128 26.1762 5.709e-06 0.0300367 0.0979102 1.24103e-05 979 30. 0.088829 0.079877 19.8446 26.1762 1 2459205.0566551 533120250 11.3581945821102 46.623553198492 0.270993414705671 0.964782729594769 14.2707170592657 78.248316125736 0.183605627201465 1.08736724093505 null null null null null 2458186.976065 2458255.813901 57
 11 533 13 2 ZTF_r 1450559105015 0 2.2082 165.407 10.9866 26.1845 5.2868e-06 0.0289449 0.0977748 1.14326e-05 980 30. 0.082532 0.081737 19.6852 26.1845 1 2459205.0591088 533120250 -32.1457355324225 54.0915432540951 -0.661072050905826 0.942646411694204 -124.957704236101 91.8002408904811 -1.37035916619916 1.08248808141275 null null null null null 2458186.976065 2458255.813901 57
 12 533 13 2 ZTF_r 1450561565015 0 1.9256 165.395 10.261 26.186 4.589e-06 0.0269694 0.0948747 9.97267e-06 980 30. 0.076476 0.075092 19.8878 26.186 1 2459205.0615625 533120250 63.9569747466767 46.6997359304926 1.52345029459966 0.933120979691796 141.375486600153 83.5645720902723 1.70320573750654 1.07718010974094 null null null null null 2458186.976065 2458255.813901 57
 13 533 13 2 ZTF_r 1450564015015 0 1.9415 166.157 11.1876 26.2011 4.2252e-06 0.0259228 0.0976259 9.16824e-06 983 30. 0.073688 0.071959 19.7955 26.2011 1 2459205.0640162 533120250 -57.8096914831233 48.926201832182 -1.31435883930447 0.980221429847104 -28.9026706951687 88.7280729451653 -0.327938282432839 1.06658833243746 null null null null null 2458186.976065 2458255.813901 57
 14 533 13 2 ZTF_r 1450566465015 0 1.9548 166.968 11.2491 26.2082 5.3662e-06 0.0292112 0.0932594 1.16415e-05 980 30. 0.076972 0.079404 19.7991 26.2082 1 2459205.0664699 533120250 -27.0532109766083 50.443371056301 -0.596581138194875 1.05102353109735 39.9194018084139 90.9355930520639 0.441942037518175 1.06827969141815 null null null null null 2458186.976065 2458255.813901 57
 15 533 13 2 ZTF_r 1452569905015 2096 3.0453 11.1275 13.4651 23.2425 0.0118515 0.221385 0.127441 0.0322767 63 30. 0.081546 0.084692 16.2402 23.2425 1 2459207.0699074 533120250 58.7072746167494 84.131239080106 0.776228233858982 0.98564116705754 -48.1358304812898 123.050115356218 -0.393823507834877 1.11693016222612 null null null null null 2458186.976065 2458255.813901 57
 16 533 13 2 ZTF_r 1452572295015 32 2.9655 27.9989 15.3859 24.2391 0.000333112 0.0894937 0.0851735 0.000987273 224 30. 0.075173 0.083362 17.1217 24.2391 1 2459207.0722917 533120250 28.2768604216372 85.347706351822 0.368548064612762 1.04339387570632 -4.16432112414606 126.82282941095 -0.0330568879907755 1.10806512507021 null null null null null 2458186.976065 2458255.813901 57
 17 533 13 2 ZTF_g 1467506415015 0 2.7251 48.207 12.3524 25.6119 3.47561e-05 0.0521744 -0.00865246 0.000105782 594 30. 0.075962 0.073494 18.799 25.6119 1 2459222.006412 533120150 -19.4182856516513 72.7409352863155 -0.296952376823706 0.900420493401962 154.348088036317 112.761574551615 1.37801934663938 1.0938682032522 null null null null null 2458203.992778 2458360.637616 57
 18 533 13 2 ZTF_r 1467543425015 0 1.8607 88.9265 15.6545 25.5026 5.53151e-05 0.0900934 0.113953 0.00012079 905 30. 0.057388 0.061386 18.7377 25.5026 1 2459222.0434259 533120250 -4.38939663353229 66.3154532684427 -0.073628318943806 0.981326450969761 -66.6214764419482 121.049415812444 -0.554072693938193 1.0706669131251 null null null null null 2458186.976065 2458255.813901 57
