mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
58368.24956020014,"614249564815010044",1,614249564815,20.541355,-1,614,0.22923589,20.02944,18.209143,"",20.2508,"",0.18454221,0.029564992,0.034512546,0.2683,"",299.1788669,22.4784087,0.75,"t8_f5_c3",0,20.1654,0.3151,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58368.253043999895,"614253041015010118",1,614253041015,20.884966,-1,614,0.2475506,19.736822,18.253721,"",19.971,"",0.16384508,0.03732184,0.04180159,0.1645,"",299.178827,22.4783694,0.81,"t8_f5_c3",0,20.2448,0.2669,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58368.27731479984,"614277314815010081",2,614277314815,20.166727,-1,614,0.23633529,18.606506,17.287039,"",18.6597,"",0.08065525,0.0052597197,0.023924632,0.092,"",299.1788421,22.4783651,0.7966667,"t8_f5_c3",0,18.6635,0.1166,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58372.25754630007,"618257541015015041",1,618257541015,20.9083,1,618,0.213941,20.0904,17.858309,"",20.2059,"",0.222171,0.025247712,0.028434817,0.207,"",299.1789554,22.4783595,0.746667,"t12_f5_c3","",20.0622,0.2273,640120210,false,true,false,"","corr_bulk_0.0.1",0,625211181015010200
58374.24981479999,"620249814815010038",1,620249814815,20.907442,-1,620,0.13393341,19.69293,18.285545,"",19.6692,"",0.13502902,0.031614523,0.036937997,0.1282,"",299.1788739,22.4783544,0.87666667,"t8_f5_c3",0,19.8297,0.1874,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58374.25145829981,"620251451015010021",1,620251451015,20.924591,-1,620,0.12821598,19.796597,18.238983,"",19.7906,"",0.13906918,0.02743092,0.033127263,0.1373,"",299.1788968,22.4783057,0.8066667,"t8_f5_c3",0,19.9264,0.1958,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58379.21118059987,"625211181015010231",2,625211181015,20.092209,-1,625,0.25547627,18.578583,17.217703,"",18.5875,"",0.14453559,0.031214332,0.041268907,0.0971,"",299.178837,22.4783949,0.61333334,"t8_f5_c3",0,18.6472,0.1301,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58381.14732640004,"627147324815015008",2,627147324815,20.308056,1,627,0.13864641,19.160452,16.865267,"",19.6861,"",0.21471569,0.02053907,0.025929237,0.2391,"",299.1789532,22.4783399,0.5566667,"t8_f5_c3",0,19.6187,0.2832,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58381.23115740018,"627231151015010012",1,627231151015,20.105604,-1,627,0.18619092,19.855019,18.22552,"",20.1369,"",0.1925036,0.038799986,0.042917926,0.3905,"",299.1788389,22.4783387,0.75666666,"t8_f5_c3",0,20.1725,0.5162,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58425.12938660011,"671129384815010006",1,671129384815,19.963037,-1,671,0.13957669,19.611473,18.308937,"",20.1223,"",0.20301864,0.05796952,0.061167564,0.4113,"",299.1789538,22.4783702,0.71,"t8_f5_c3",0,19.7643,0.378,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58426.16462960001,"672164621015010017",1,672164621015,20.16643,-1,672,0.3425494,19.558884,18.304205,"",19.3843,"",0.21437538,0.06455424,0.06749998,0.1865,"",299.1787978,22.4783728,0.61333334,"t8_f5_c3",0,19.3553,0.2318,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58426.165080999956,"672165084815010002",1,672165084815,19.781013,-1,672,0.085175365,19.552853,18.327236,"",19.6185,"",0.17195877,0.051949613,0.05561322,0.2768,"",299.178924,22.4783411,0.72,"t8_f5_c3",0,19.4814,0.3121,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58429.088078700006,"675088074815010012",2,675088074815,20.80426,-1,675,0.19673765,19.189917,17.16079,"",19.0846,"",0.16524163,0.014776363,0.02549582,0.0943,"",299.1788516,22.4783468,0.49666667,"t8_f5_c3",0,19.1177,0.1205,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58429.16267360002,"675162671015015046",1,675162671015,20.6882,1,675,0.193488,19.9318,17.83667,"",20.157,"",0.228965,0.030672038,0.03324425,0.2352,"",299.1789532,22.4783416,0.763333,"t12_f5_c3","",20.1428,0.2928,640120210,false,true,false,"","corr_bulk_0.0.1",0,676090921015010000
58429.17021990009,"675170214815015016",1,675170214815,20.523628,1,675,0.4639268,20.101446,17.873674,"",19.8914,"",0.20719072,0.023192814,0.026623264,0.2173,"",299.1789776,22.4782414,0.71666664,"t8_f5_c3",0,20.0185,0.309,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58430.090474499855,"676090474815010008",2,676090474815,20.648108,-1,676,0.030094827,18.781786,17.240057,"",18.948,"",0.13169804,0.02266765,0.03183372,0.092,"",299.178908,22.4783456,0.73333335,"t8_f5_c3",0,19.0742,0.129,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58430.0909258998,"676090921015010012",2,676090921015,20.611118,-1,676,0.11479182,18.743742,17.174816,"",18.6544,"",0.14741993,0.023115056,0.03475247,0.0718,"",299.1788592,22.4783589,0.72333336,"t8_f5_c3",0,18.5978,0.0855,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58431.13190970011,"677131904815010006",2,677131904815,19.51799,-1,677,0.4182305,18.731697,17.252518,"",18.5252,"",0.14036186,0.027937733,0.035939965,0.1191,"",299.1788626,22.4782383,0.68333334,"t8_f5_c3",0,18.4551,0.1423,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58431.13237270014,"677132371015010022",2,677132371015,19.556883,-1,677,0.06487634,18.723816,17.179567,"",18.5433,"",0.1238261,0.01457275,0.029861562,0.1236,"",299.1788676,22.4783486,0.74,"t8_f5_c3",0,18.5283,0.1554,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58558.48721060017,"804487214815010006",1,804487214815,19.8669,-1,804,0.885118,19.8811,18.239285,"",19.617,"",0.256484,0.05349136,0.056537177,0.239,"",299.1788705,22.478115,0.475714,"t15_f5_c3","",19.6797,0.3235,591120248,false,true,false,"","corr_bulk_0.0.1",0,832499364815010000
58558.48812500015,"804488121015010015",1,804488121015,19.6984,-1,804,0.370434,19.4484,18.341457,"",19.4967,"",0.223082,0.07784839,0.08047981,0.1753,"",299.1788932,22.4782355,0.508571,"t15_f5_c3","",19.3833,0.2017,640120210,false,true,false,"","corr_bulk_0.0.1",0,832498441015010000
58582.49556710012,"828495564815015007",1,828495564815,20.5168,1,828,0.224188,19.9756,17.856663,"",19.9644,"",0.268009,0.03582806,0.038069274,0.2294,"",299.1788761,22.4783062,0.702857,"t15_f5_c3","",20.2465,0.3757,591120148,false,true,false,"","corr_bulk_0.0.1",0,852475984815010000
58586.49844910018,"832498441015010041",2,832498441015,20.399076,-1,832,0.09228567,18.634468,17.202261,"",18.5333,"",0.14243671,0.027240004,0.03808368,0.075,"",299.1788833,22.4783643,0.40285715,"t15_f5_c3",0,18.6104,0.1015,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58586.49936340004,"832499364815010043",2,832499364815,20.59522,-1,832,0.11351417,18.547228,17.305264,"",18.7736,"",0.11130276,0.026343528,0.035458457,0.0817,"",299.1789137,22.4783828,0.28428572,"t15_f5_c3",0,18.7401,0.0991,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58591.47712960001,"837477121015010030",2,837477121015,19.415985,-1,837,0.31625763,18.746553,17.174154,"",18.5062,"",0.15002137,0.023877824,0.035252776,0.1643,"",299.1787928,22.4783631,0.65,"t15_f5_c3",0,18.5687,0.2227,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
58597.45496529993,"843454961015010045",2,843454961015,20.3592,-1,843,0.384579,18.9015,17.140741,"",18.917,"",0.268728,0.046755165,0.05308959,0.1135,"",299.1787851,22.4783969,0.277143,"t15_f5_c3","",18.8542,0.1354,640120110,false,true,false,"","corr_bulk_0.0.1",0,852475521015010000
58605.44391199993,"851443914815010023",2,851443914815,20.547003,-1,851,0.17254062,18.984114,17.19633,"",18.9802,"",0.120865434,0.009031538,0.023291005,0.1027,"",299.1789581,22.4783289,0.38428572,"t15_f5_c3",0,19.1725,0.1532,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58605.444363399874,"851444361015010087",2,851444361015,20.669098,-1,851,0.23152779,18.860176,17.149096,"",18.635,"",0.15413807,0.019335918,0.03187701,0.0685,"",299.1788175,22.4783609,0.31142858,"t15_f5_c3",0,18.6425,0.0862,640120210,true,true,false,"","corr_bulk_0.0.1",0,0
